 an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1900.00   -0.008094    0.030847    0.074561    0.023047  -0.0001443   0.0000000    0.264930    0.000000    0.020524    0.000000
   1900.05    0.036863    0.028094    0.022971    0.020402  -0.0000594   0.0000000    0.265620    0.000000    0.020773    0.000000
   1900.10    0.048628    0.030603    0.012210    0.023920   0.0002635   0.0000000    0.264500    0.000000    0.020135    0.000000
   1900.15    0.030021    0.021665    0.001863    0.021683  -0.0003384   0.0000000    0.264096    0.000000    0.018614    0.000000
   1900.20    0.028252    0.022873   -0.001631    0.021848   0.0000192   0.0000000    0.265617    0.000000    0.017759    0.000000
   1900.25   -0.002665    0.028036   -0.018556    0.023083   0.0001707   0.0000000    0.265693    0.000000    0.016597    0.000000
   1900.30   -0.007688    0.019924   -0.026482    0.020734  -0.0001888   0.0000000    0.266722    0.000000    0.015331    0.000000
   1900.35   -0.058658    0.021365   -0.040675    0.020630   0.0001322   0.0000000    0.267158    0.000000    0.015285    0.000000
   1900.40   -0.064035    0.020564   -0.058522    0.018250   0.0001234   0.0000000    0.265653    0.000000    0.015787    0.000000
   1900.45   -0.072345    0.018504   -0.078209    0.019868  -0.0001029   0.0000000    0.263686    0.000000    0.015619    0.000000
   1900.50   -0.034561    0.019206   -0.034863    0.017392  -0.0000132   0.0000000    0.261244    0.000000    0.016044    0.000000
   1900.55   -0.038498    0.016889   -0.048612    0.019432   0.0001450   0.0000000    0.257711    0.000000    0.016258    0.000000
   1900.60   -0.062478    0.021672   -0.008256    0.019682  -0.0001679   0.0000000    0.254759    0.000000    0.016060    0.000000
   1900.65   -0.081681    0.022415   -0.026057    0.021051   0.0000014   0.0000000    0.254131    0.000000    0.016825    0.000000
   1900.70   -0.080340    0.019372    0.002979    0.019932   0.0001994   0.0000000    0.252905    0.000000    0.016454    0.000000
   1900.75   -0.072707    0.020457    0.052754    0.020021  -0.0002492   0.0000000    0.253766    0.000000    0.016150    0.000000
   1900.80   -0.083557    0.021643    0.052000    0.018452   0.0001036   0.0000000    0.256369    0.000000    0.017218    0.000000
   1900.85   -0.091374    0.028263    0.106105    0.022957   0.0000073   0.0000000    0.258155    0.000000    0.017609    0.000000
   1900.90   -0.073034    0.026380    0.122038    0.023377  -0.0001833   0.0000000    0.259675    0.000000    0.018439    0.000000
   1900.95   -0.003169    0.022073    0.110793    0.022650   0.0001391   0.0000000    0.261616    0.000000    0.018885    0.000000
   1901.00   -0.009012    0.025510    0.105920    0.024581   0.0000983   0.0000000    0.260860    0.000000    0.020044    0.000000
   1901.05   -0.002097    0.022829    0.132481    0.025580  -0.0001629   0.0000000    0.261402    0.000000    0.019038    0.000000
   1901.10    0.020844    0.028295    0.092452    0.024078   0.0000272   0.0000000    0.261280    0.000000    0.019025    0.000000
   1901.15    0.018310    0.027959    0.103759    0.021518   0.0002084   0.0000000    0.260698    0.000000    0.017793    0.000000
   1901.20    0.056950    0.023554    0.110441    0.021218  -0.0002330   0.0000000    0.261268    0.000000    0.016178    0.000000
   1901.25    0.043508    0.021996    0.064989    0.021964   0.0001483   0.0000000    0.262370    0.000000    0.015584    0.000000
   1901.30    0.061380    0.018370    0.062943    0.019514   0.0001877   0.0000000    0.262339    0.000000    0.014761    0.000000
   1901.35    0.102931    0.019188    0.037932    0.019404  -0.0002564   0.0000000    0.262209    0.000000    0.013845    0.000000
   1901.40    0.082013    0.018701   -0.035428    0.021229   0.0001921   0.0000000    0.261544    0.000000    0.014545    0.000000
   1901.45    0.122471    0.017658   -0.030960    0.017562  -0.0000057   0.0000000    0.258834    0.000000    0.015214    0.000000
   1901.50    0.138124    0.019355   -0.028013    0.019468  -0.0000854   0.0000000    0.256237    0.000000    0.014970    0.000000
