JD RV eRV RVbary
2455427.783993 -0.57 0.97 20953.57
2455427.784988 0.63 1.07 20951.099
2455427.785995 -0.26 1 20948.592
2455427.787407 0.15 1.1 20945.064
2455427.788356 1.93 1.2 20942.686
2455427.789329 -0.26 1.25 20940.243
2455427.790544 -0.75 1.68 20937.181
2455427.791516 2.14 1.39 20934.724
2455427.792882 1.09 1.52 20931.263
2455428.848623 1.95 1.01 20490.834
2455428.849606 0.35 1.07 20488.125
2455428.850602 -1.54 1.01 20485.384
2455428.851725 2.29 1.49 20482.292
2455428.852685 -0.38 1.43 20479.645
2455428.853634 1.15 1.58 20477.03
2455428.854769 2.12 1.59 20473.905
2455428.855706 1.62 1.9 20471.322
2455429.881887 0.87 0.99 20102.017
2455429.882882 0.76 1.01 20099.309
2455429.884028 -4.13 1.15 20096.195
2455429.884977 0.81 1.18 20093.618
2455429.886123 2.27 1.58 20090.512
2455429.887072 -1.37 1.71 20087.942
2455430.845208 1.48 1.08 19900.121
2455430.846204 -1.49 1.05 19897.369
2455430.847303 1.51 1.35 19894.328
2455430.848264 1.09 1.38 19891.67
2455430.849468 0.73 1.69 19888.34
2455430.850405 -2.56 1.96 19885.747
2455431.844942 -0.16 0.96 19592.637
2455431.846262 0.33 1.06 19588.98
2455431.847755 1.74 1.15 19584.841
2455431.849965 -0.22 1.14 19578.713
2455431.851389 1.96 1.18 19574.767
2455431.852431 0.84 1.2 19571.881
2455435.810995 -1.11 1.11 18400.588
2455435.811991 -0.97 1.07 18397.84
2455435.813252 -2.76 1.45 18394.353
2455435.814213 0.05 1.33 18391.696
2455435.816227 4.69 2.25 18386.118
2455435.817176 2.05 1.73 18383.486
2455436.845775 -1.63 1.11 17968.755
2455436.846759 -0.69 1.04 17966.008
2455436.848032 -0.89 1.17 17962.456
2455436.851644 9.43 2.21 17952.391
2455436.852581 2.29 1.63 17949.782
2455436.853634 -1 1.28 17946.852
2455437.798148 0.74 1.07 17761.33
2455437.799155 1.06 0.96 17758.56
2455437.800266 -1.82 1.41 17755.5
2455437.801238 3.94 1.34 17752.82
2455437.802338 1.16 1.87 17749.785
2455437.803299 -1.34 1.51 17747.13
2455438.860509 1.31 1.09 17241.855
2455438.861505 2.45 1.13 17239.108
2455438.862604 0.74 1.18 17236.078
2455438.863565 3.79 1.34 17233.433
2455438.864688 3.86 1.65 17230.347
2455438.865625 0.63 1.59 17227.773
2455439.895208 1.94 1.26 16797.886
2455439.896204 1.91 1.24 16795.316
2455439.897315 2.59 1.32 16792.454
2455439.898275 -0.31 1.65 16789.987
2455439.899398 3.46 1.87 16787.111
2455439.900336 2.01 1.71 16784.717
2455582.536146 -3 1.34 -27054.394
2455582.537257 -1.93 1.34 -27056.485
2455582.538345 -1.79 1.34 -27058.52
2455582.539421 -2.05 1.25 -27060.523
2455582.540498 -3.2 1.3 -27062.516
2455582.541586 -4.04 1.19 -27064.518
2455584.542639 -1.36 1.32 -26853.528
2455584.543715 0.74 1.23 -26855.412
2455584.54478 -2.62 1.26 -26857.264
2455584.54588 -2.92 1.28 -26859.164
2455584.546979 -3.12 1.29 -26861.052
2455584.548113 -1.87 1.36 -26862.986
2455588.5375 0 1.37 -26323.013
2455588.5386 -1.35 1.29 -26324.836
2455588.539687 -0.3 1.33 -26326.627
2455588.540799 -3.12 1.31 -26328.442
2455588.541875 1.25 1.32 -26330.189
2455786.844236 -1.45 1.01 22479.348
2455786.84522 -1.16 1.15 22476.73
2455786.846238 0.46 1.13 22474.017
2455786.847257 -0.38 1.06 22471.301
2455786.848252 0.11 1.04 22468.644
2455788.764155 0.63 1.13 22171.066
