date theta terr rho rerr
1689.9 NA NA NA NA
1752.20 217.84 NA 20.51 NA
1761.50 NA NA 15.6 NA
1822. 209.6 NA 28.75 NA
1824. 214.4 NA 22.45 NA
1826.01 212.66 NA 22.45 NA
1830.01 214.54 NA 19.95 NA
1831.00 215.49 NA 22.56 NA
1832.16 215.88 NA 19.85 NA
1833.00 216.98 NA 18.67 NA
1834.41 217.84 NA 17.61 NA
1835.15 NA NA 17.17 NA
1835.22 218.66 NA NA NA
1836.28 219.39 NA NA NA
1836.61 NA NA 16.76 NA
1837.22 220.21 NA 16.39 NA
1838.10 220.45 NA 15.37 NA
1846.21 231.77 NA 10.96 NA
1846.79 233.82 NA 9.57 NA
1847.21 NA NA 9.45 NA
1847.24 234.93 NA NA NA
1847.96 237.23 NA 8.17 NA
1848.02 237.76 NA 7.97 NA
1848.07 NA NA 8.02 NA
1848.68 237.77 NA NA NA
1849.63 244.5 NA 6.23 NA
1849.91 244.95 NA NA NA
1849.94 NA NA 6.97 NA
1849.941 245.14 NA 6.99 NA
1849.941 245.16 NA 6.94 NA
1850.040 245.33 NA 7.04 NA
1850.040 245.56 NA 7.20 NA
1850.106 246.38 NA 7.01 NA
1850.17 245.36 NA 6.99 NA
1850.28 249.93 NA 5.88 NA
1850.37 247.17 NA 6.52 NA
1850.44 247.52 NA 6.68 NA
1850.47 243.65 NA 7.11 NA
1850.64 248.75 NA 6.20 NA
1850.87 NA NA 6.04 NA
1850.88 251.10 NA NA NA
1851.02 250.71 NA 5.88 NA
1851.18 252.81 NA NA NA
1851.20 251.79 NA 5.94 NA
1851.28 259.16 NA 7.6 NA
1851.70 256.04 NA 5.27 NA
1851.75 255.21 NA 5.82 NA
1851.90 257.86 NA 5.11 NA
1851.99 258.51 NA 5.08 NA
1852.25 260.74 NA 5.03 NA
1852.38 261.55 NA 4.94 NA
1852.40 260.63 NA 5.40 NA
1852.50 257.67 NA 6.5 NA
1852.53 263.83 NA 5.00 NA
1852.67 NA NA 5.15 NA
1852.68 264.55 NA 4.80 NA
1852.70 262.71 NA NA NA
1852.87 246.16 NA 4.52 NA
1852.99 246.71 NA 4.50 NA
1853.07 267.51 NA 4.53 NA
1853.23 268.49 NA 4.56 NA
1853.24 267.29 NA NA NA
1853.26 NA NA 4.27 NA
1853.43 269.97 NA 4.77 NA
1853.58 271.84 NA 4.57 NA
1853.59 269.78 NA NA NA
1853.78 273.17 NA NA NA
1853.94 274.91 NA 4.33 NA
1854.06 276.71 NA NA NA
1854.07 277.14 NA 4.08 NA
1854.254 279.06 NA 4.16 NA
1854.37 279.95 NA 4.60 NA
1854.38 280.87 NA NA NA
1854.39 281.4 NA 4.30 NA
1854.63 283.15 NA NA NA
1854.80 NA NA 4.15 NA
1854.81 284.48 NA NA NA
1855.05 288.74 NA NA NA
1855.23 289.54 NA 4.43 NA
1855.32 293.32 NA NA NA
1855.34 NA NA 4.07 NA
1855.48 NA NA 4.18 NA
1855.50 294.62 NA NA NA
1855.56 295.13 NA NA NA
1856.02 300.79 NA 3.95 NA
1856.04 302.30 NA 3.82 NA
1856.12 303.70 NA 3.87 NA
1856.14 303.22 NA 3.88 NA
1856.35 306.61 NA 3.89 NA
1856.90 314.64 NA 3.94 NA
1856.93 309.35 NA 4.06 NA
1856.94 312.09 NA 4.29 NA
1857.01 316.70 NA 4.13 NA
1857.05 316.84 NA 3.99 NA
1857.28 319.09 NA 4.05 NA
1857.39 320.35 NA 4.47 NA
1857.73 324.80 NA 4.09 NA
1857.82 326.31 NA 5.65 NA
1857.91 324.83 NA 4.56 NA
1858.13 329.02 NA 4.29 NA
1858.23 329.13 NA 5.09 NA
1859.22 338.74 NA 5.13 NA
1859.24 340.61 NA 4.85 NA
1859.38 339.75 NA 5.12 NA
1859.60 343.61 NA 5.08 NA
1860.00 347.72 NA 5.06 NA
1860.05 346.62 NA 6.61 NA
1860.11 345.00 NA 5.68 NA
1860.29 NA NA 5.48 NA
1860.35 348.81 NA NA NA
1860.58 348.42 NA 5.68 NA
1861.05 350.76 NA 6.08 NA
1861.09 353.40 NA 6.10 NA
1861.30 352.95 NA 6.21 NA
1861.58 354.03 NA 6.29 NA
1862.20 357.74 NA 6.79 NA
1862.56 1.01 NA 7.54 NA
1863.03 1.14 NA 7.20 NA
1863.75 5.2 NA 8.5 NA
1864.05 6.43 NA 8.49 NA
1864.11 5.45 NA 7.85 NA
1864.72 NA NA 8.1 NA
1864.87 8.47 NA 8.50 NA
1865.56 17.06 NA 9.95 NA
1865.56 17.3 NA 9.95 NA
1866.06 10.26 NA 9.25 NA
1867.59 15.27 NA 10.66 NA
1867.59 15.37 NA 10.28 NA
1868.18 NA NA 9.4 NA
1868.27 19.38 NA 12.39 NA
1868.38 13.33 NA 10.29 NA
1868.51 21.8 NA 11.02 NA
1869.13 17.75 NA 10.4 NA
1870.10 20.24 NA 10.24 NA
1870.61 21.59 NA 10.09 NA
1870.65 NA NA 10.2 NA
1870.65 24.7 NA 10.45 NA
1870.75 22.11 NA 10.46 NA
1871.05 22.81 NA 9.89 NA
1871.31 23.50 NA 9.84 NA
1871.47 23.80 NA 10.14 NA
