JD dRA edRA dDE edDE lambda
2447877.7175 -13764.1403124555 5.34360594542723 -16140.513454647 4.63048877009759 0.55
2447878.0095 -13715.9570858159 5.23435795967386 -16215.21839796 4.75423245645393 0.55
2447878.4475 -13770.4799896026 5.06960208004532 -16139.3922959803 4.92924137165143 0.55
2447917.5755 -13686.2247182814 4.70579562879694 -16171.5937300499 5.27784501477635 0.55
2447939.804 -13480.929632478 6.67791644152541 -16323.7969734155 2.32249224971803 0.55
2447966.4125 -13308.9416060285 1.0009097112128 -16063.277547812 6.99965002696563 0.55
2448076.022 -12084.4198559457 5.25733891812226 -16018.635441813 4.72842304579441 0.55
2448097.7395 -12015.4802350526 5.03884292273548 -15950.0254612681 4.96070763601326 0.55
2448128.436 -11824.0019107038 6.76347636204937 -15907.5447557228 2.06298406440769 0.55
2448162.965 -11802.1502583367 0.399515331370438 -15809.726893599 7.0597541033665 0.55
2448176.251 -11782.1101298342 5.77635529551281 -15782.971111139 4.07682416226159 0.55
2448176.7255 -11796.3855535947 5.87040049741081 -15823.8511200466 3.9410596608019 0.55
2448264.5445 -11841.682476217 6.37774962271168 -15878.8898537068 3.05293354824503 0.55
2448280.057 -11694.4848792504 5.92696903990569 -15772.2541928166 3.85620684740847 0.55
2448311.5565 -11596.5722050682 2.26592370789482 -15640.8655258815 6.6980689941206 0.55
2448344.443 -11230.0092159622 6.70620071277324 -15484.8499245475 2.24117497085794 0.55
2448361.7075 -11125.1489450702 0.209657458727323 -15547.8618134765 7.06788584019296 0.55
2448421.166 -10442.1234463995 5.18945666712803 -15412.3474498931 4.80302282422227 0.55
2448421.531 -10365.0299755565 5.31708945288671 -15525.3278691532 4.66124790158171 0.55
2448422.0055 -10424.9521942771 5.48184533255002 -15406.5887028139 4.46643999735808 0.55
2448422.407 -10523.0305117885 5.61018520193421 -15112.9166717368 4.30380543821395 0.55
2448430.8385 -10307.6213752496 7.0682393847408 -15492.3791731193 0.194101133433066 0.55
2448431.313 -10303.9747291116 7.07106781186548 -15539.3395396459 0.032882366094911 0.55
2448472.5215 -9963.80956909283 6.16208205479287 -15502.2148955766 3.4672981195738 0.55
2448472.9595 -9981.865817622 6.21051885916138 -15459.7218614612 3.37749555884238 0.55
2448502.707 -9806.78599685855 1.88302535829962 -15328.888692369 6.81580226385706 0.55
2448523.1105 -9861.91581698493 6.98550789134184 -15363.0795095353 1.09778333472503 0.55
2448612.207 -9886.00721126223 7.04490486096139 -15441.1741031623 0.609172594590465 0.55
2448620.6385 -10002.9044550556 5.31532167417915 -14947.9902005623 4.66266211514411 0.55
2448621.0765 -9917.61127890279 5.17708231052975 -15145.6412005899 4.81610428666156 0.55
2448657.087 -9663.96367074171 3.84347892540082 -15063.4541634844 5.93474721449871 0.55
2448682.4142 -9559.99668862837 6.96358758112509 -15347.6957687388 1.22718386967887 0.55
2448706.863 -9393.90133144394 0.455730457617456 -15110.7082375972 7.05621856946057 0.55
2448816.9924 -8214.66606887804 5.51967553394254 -14956.244894131 4.41906384316852 0.55
2449010.765 -7938.159627903 5.89338147840435 -14577.9063641669 3.90711853544277 0.55
