MJD RV eRV
57512.66214753 -1144.81462145261 0.0487487113065975
57517.26183812 -1147.18925572146 0.0630537221697279
57517.26231246 -1146.32560672466 0.0598385839411079
57517.26278586 -1145.17385617714 0.0471064758691118
57517.26320441 -1144.73099239154 0.0741575714849476
57517.26372909 -1145.13459826249 0.0790287379618032
57517.26420365 -1144.12668829729 0.0788172395058522
57517.26467509 -1144.94210123105 0.0755467599109588
57517.26514757 -1143.26241177345 0.0663681385844855
57517.26556577 -1145.33675291981 0.0569372704612116
57517.26608802 -1142.31711011004 0.113148004281835
57517.26656131 -1142.76676985813 0.0611664339256605
57517.26698507 -1145.81924252591 0.0853308369828596
57517.26750743 -1145.37054963255 0.0511395442519779
57517.26793049 -1144.07473739513 0.0975529957136321
57517.26840112 -1144.86824502167 0.0654163478373927
57517.26892302 -1146.22895031858 0.0539903743344035
57517.26939515 -1146.1014612485 0.078392114161608
57517.26986416 -1144.71960195484 0.0967791881877661
57517.27033699 -1144.25115032274 0.05612432284072
57517.27081144 -1144.61781247501 0.0619812596303978
57517.27123438 -1143.96258475182 0.0522035105351814
57517.2717542 -1142.75029251881 0.0748886451602346
57517.27222448 -1142.13043109317 0.0663708043027748
57517.27269997 -1144.28673504032 0.0762276647929794
57517.27317326 -1145.35702371613 0.0836031463000945
57517.2736506 -1143.84502438797 0.132030735172868
57517.27412771 -1142.97604395809 0.0859001754442295
57517.27460065 -1145.41990115616 0.0831716796814634
57517.27502278 -1145.96916180648 0.0607158332646461
57513.32404626 -1142.77521882818 0.166902468404223
57517.32383735 -1144.39182656531 0.0834116699847353
57517.32430868 -1143.00950817142 0.101026589554071
57517.3247815 -1143.98505640576 0.0844897671976828
57517.32525514 -1143.77889385581 0.0823472719502693
57517.3257289 -1142.84642560725 0.16565493788672
57517.32620068 -1141.6027680924 0.157526578039007
57517.32667374 -1139.57257403301 0.114822636486641
57517.32714819 -1140.51893757329 0.176306947463691
57517.32762206 -1141.5765638074 0.104397716698735
57517.32809744 -1144.99570697833 0.197291729290593
57517.32857072 -1143.57674060498 0.152161847231446
57517.32904471 -1144.1766345334 0.150701879811009
57517.3295158 -1143.43339383831 0.118498595174194
57517.32993817 -1146.48195017214 0.130403273724574
57516.20353564 -1128.94140641301 0.0468501121706347
57521.2031609 -1137.0144576951 0.0556844122571003
57521.2036335 -1136.26057411091 0.0400698303386095
57521.20405505 -1139.43930570552 0.0487194843545063
57521.20457568 -1142.09273851055 0.0345530277623967
57521.20504805 -1144.74329287078 0.0375438905255206
57521.20547655 -1139.45674160927 0.0391654519651482
57521.20594741 -1141.86923238859 0.0298887991536956
57521.20642139 -1144.87544705775 0.030105598493658
57521.20694329 -1138.98041635364 0.0467107188635074
57521.20741751 -1141.33554363265 0.0426668982089546
57521.20789058 -1145.20330948023 0.0368836271751702
57526.59296369 -1156.85681903968 0.0361507276583607
57531.1926544 -1157.05878963303 0.0300476154148706
57531.19312607 -1157.16064728948 0.0300593061376292
57531.19359485 -1156.82582476083 0.0272705373459019
57531.19406756 -1157.3173032405 0.0425977014327198
57531.19453981 -1157.88635759618 0.0307085956523212
57531.19501136 -1156.99187060665 0.0359020948655169
57531.19548326 -1157.62030066065 0.0336372927227888
57531.19595574 -1157.86804560018 0.0285067845217983
57531.19643864 -1156.3562124978 0.0386911626036657
57531.19691124 -1157.40113443283 0.0284001865685123
57531.19738395 -1157.42398363145 0.0365006508487392
57531.19785793 -1157.47606829836 0.0390235160454744
57526.19917914 -1157.14517714122 0.0479047175807817
57531.1987941 -1155.89316150082 0.0468923033172523
57532.29583457 -1153.59651030839 0.0410514028033517
57532.29628171 -1155.07632718991 0.0523668906907237
57532.29682652 -1153.74594185079 0.0378816274918755
57532.29732146 -1153.16304218868 0.0366024416169352
57532.29781524 -1153.28040258767 0.0351012661880445
57532.29831191 -1153.99406345777 0.0236709054163208
57532.29880673 -1153.78193077362 0.0274805713397291
