t obsX obsY barStartX barStartY barEndX barEndY consortium
1989.9885 1872.1282420440668 666.036276497801 1867.1937420440668 666.8422764978011 1877.062742044067 665.230276497801 F
1990.2305 1278.7162105897578 649.3347700481737 1283.4082105897578 647.6072700481737 1274.0242105897578 651.0622700481737 F
1990.2741 1181.4329993730923 618.3419331432077 1182.3539993730924 613.4274331432077 1180.5119993730923 623.2564331432077 F
1990.3618 1017.2204822280154 526.0029330848333 1021.8899822280154 527.7894330848334 1012.5509822280154 524.2164330848333 F
1990.4627 897.7796477224734 390.4006680385682 902.2301477224735 388.1216680385682 893.3291477224734 392.6796680385682 F
1990.4639 895.3621586211615 385.7079498474576 899.8781586211614 383.5619498474576 890.8461586211615 387.8539498474576 F
1990.4967 873.2594004339666 345.61461309524424 877.7934004339666 347.72211309524425 868.7254004339666 343.5071130952442 F
1990.4979 873.2632075254331 342.4815203034103 877.7307075254331 344.7265203034103 868.7957075254332 340.2365203034103 F
1990.8139 763.8676513814037 110.0298649610458 762.5996513814036 114.8663649610458 765.1356513814037 105.1933649610458 F
1990.8941 673.492619770158 126.06168701458807 668.962619770158 123.94468701458807 678.0226197701579 128.17868701458806 F
1990.9427 597.2668625974175 140.2961378105766 593.3763625974175 143.4371378105766 601.1573625974174 137.1551378105766 F
1991.187 23.808098457032862 169.14638131480504 26.550598457032862 164.96538131480503 21.065598457032863 173.32738131480505 F
1991.1882 18.733623563645736 167.43161196824394 21.338623563645736 163.16411196824393 16.128623563645736 171.69911196824395 F
1991.2015 -11.02697710244044 163.24207046270064 -10.15897710244044 158.31807046270063 -11.894977102440441 168.16607046270065 F
1991.2028 -10.389495538999444 163.12760939759175 -9.685995538999444 158.17760939759177 -11.092995538999444 168.07760939759174 F
1991.3073 -248.7900451947888 83.43401618689644 -243.85554519478882 84.24051618689644 -253.7245451947888 82.62751618689644 F
1991.3814 -371.826925965075 -4.331470828162734 -369.29042596507503 -8.639970828162735 -374.363425965075 -0.02297082816273388 F
1991.3826 -373.4443792852275 -5.807087063711341 -370.8458792852275 -10.07808706371134 -376.0428792852275 -1.5360870637113413 F
1991.4457 -451.09619428284003 -85.92351047947153 -446.77819428284005 -83.40351047947154 -455.41419428284 -88.44351047947153 F
1991.8246 -609.6099545689585 -394.607157820964 -614.5174545689586 -395.563157820964 -604.7024545689585 -393.651157820964 F
1991.893 -686.7466681855383 -381.85336994925086 -689.3906681855383 -377.6093699492509 -684.1026681855383 -386.09736994925083 F
1992.001 -877.0244010085474 -343.32557894350936 -881.5469010085475 -345.45757894350936 -872.5019010085474 -341.19357894350935 F
1992.0034 -882.3243558146829 -342.49587742317743 -886.9848558146829 -344.3068774231774 -877.663855814683 -340.68487742317745 F
1992.0046 -885.5724933179578 -340.4002538276829 -890.2949933179577 -342.0422538276829 -880.8499933179578 -338.7582538276829 F
1992.0058 -888.5237087217336 -338.86755039304853 -893.2997087217335 -340.34755039304855 -883.7477087217336 -337.3875503930485 F
1992.2548 -1499.7458938482494 -376.1319071347463 -1494.7948938482493 -376.8249071347463 -1504.6968938482494 -375.43890713474633 F
1992.3094 -1615.0787425607953 -425.9005453049986 -1613.7507425607953 -430.7210453049986 -1616.4067425607952 -421.08004530499863 F
1992.3907 -1746.2961784921342 -523.7405646230336 -1741.7926784921342 -521.5685646230336 -1750.7996784921343 -525.9125646230336 F
1992.8435 -1996.3097252157704 -900.6948854863695 -1997.9977252157705 -895.9883854863695 -1994.6217252157703 -905.4013854863695 F
1992.9687 -2172.0868500545685 -856.4734203682824 -2176.6643500545683 -854.4624203682824 -2167.5093500545686 -858.4844203682824 F
1993.1872 -2699.59310900534 -840.8208781316579 -2696.90860900534 -845.0393781316578 -2702.27760900534 -836.6023781316579 F
