bbat sat ut1 clkchain clock0 clock1 clock2 clock3 clock4 bat Ttt tt tt2tb roemer shapiro tropo shapiroJ shapiroS shapiroV shapiroU shapiroN posTel1 posTel2 posTel3 tt2tb telSSB1 telSSB2 telSSB3 geoSSB1 geoSSB2 geoSSB3 velPulsar1 velPulsar2 velPulsar3 zenith1 zenith2 zenith3 posPulsar1 posPulsar2 posPulsar3 elevation freq
41999.994803551374293 41999.989999999999998 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 41999.994803551374293 41999.990511388888887 44.183999999999997499 -0.0013039430144206826459 370.84413724631389186 -5.4205696232063345336e-06 1.0909319132128409101e-08 -1.7960819305453120158e-08 -6.5030739665312409172e-09 1.284180348336916227e-11 -2.6682558927861221878e-10 -1.2792088465850320071e-09 0.017203 -0.006639 -0.010590 -0.0013039430144206826459 304.02657538 357.18706703 154.91175550 304.00937190380966513 357.19370637284600889 154.92234554527703949 0.000468 -0.000700 0.000398 1810.668762 -698.784533 -1122.132520 0.864080 0.421839 -0.274623 44.737000626607020592 545000000
42000.004803041275355 42000 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42000.004803041275355 42000.000511388888889 44.183999999999997499 -0.0013037311130433735205 370.80006448608492065 -5.420067240897334589e-06 1.0363562641959063037e-08 -1.7961237277548894466e-08 -6.5030543566411249487e-09 1.2840300993836679171e-11 -2.6682932028503663514e-10 -1.2792151892500000233e-09 0.017587 -0.005545 -0.010589 -0.0013037311130433735205 303.95808229 357.23651807 154.93272863 303.94049486348575329 357.24206274205209866 154.94331770648412316 0.000468 -0.000700 0.000398 1851.079242 -583.571978 -1122.030288 0.864080 0.421839 -0.274623 47.824789330878537896 545000000
42000.014802530456485 42000.010000000000002 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42000.014802530456485 42000.01051138888889 44.183999999999997499 -0.0013035124189654085335 370.75592951707983502 -5.4195638181302173373e-06 9.8999705695784806952e-09 -1.7961654951940510124e-08 -6.5030347450101643677e-09 1.2838806416531933414e-11 -2.6683305221001942745e-10 -1.2792215281292210766e-09 0.017902 -0.004428 -0.010588 -0.0013035124189654085335 303.88951018 357.28598030 154.95369690 303.87160849091497994 357.29040830947730001 154.96428518224055892 0.000468 -0.000700 0.000398 1884.155532 -466.043674 -1121.946437 0.864080 0.421839 -0.274623 50.891053111618447247 545000000
42009.994221134718973 42009.989999999999998 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42009.994221134718973 42009.990511388888887 44.183999999999997499 -0.0011005876297075789256 320.52313547187230824 -4.818324687018646978e-06 9.6057084206445998329e-09 -1.8378561792836402093e-08 -6.4888008270698929483e-09 1.1948735610588046055e-11 -2.7023677321149644096e-10 -1.2854064652310136368e-09 0.018086 -0.003601 -0.010588 -0.0011005876297075789256 230.81701237 399.88795126 173.42723350 230.79892595361266672 399.89155240095374211 173.43782135760145025 0.000468 -0.000700 0.000398 1903.597741 -379.016734 -1121.902195 0.864080 0.421839 -0.274623 53.112090802282288848 545000000
42010.00422049920623 42010 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42010.00422049920623 42010.000511388888889 44.183999999999997499 -0.0011003325466914398202 320.4682269159972634 -4.8176612207847954944e-06 9.2552449141308764262e-09 -1.837897819534274981e-08 -6.4887939432930581937e-09 1.1948474719860271843e-11 -2.7023984481414722123e-10 -1.2854124341283838661e-09 0.018277 -0.002457 -0.010587 -0.0011003325466914398202 230.74001204 399.92586733 173.44317633 230.72173470832953512 399.92832424418276105 173.4537636992317573 0.000468 -0.000700 0.000398 1923.690692 -258.587412 -1121.850816 0.864080 0.421839 -0.274623 56.120297438467353857 545000000
42010.01421986290266 42010.010000000000002 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42010.01421986290266 42010.01051138888889 44.183999999999997499 -0.0011000705822349862197 320.41325002590275517 -4.8169965678579187388e-06 8.9578668093129556329e-09 -1.8379394300230664566e-08 -6.488787047381205093e-09 1.1948222138939919271e-11 -2.7024291689983751312e-10 -1.2854183994173463839e-09 0.018396 -0.001303 -0.010587 -0.0011000705822349862197 230.66293211 399.96378084 173.45911363 230.64453629189554817 399.96508376755986092 173.46970069401956493 0.000468 -0.000700 0.000398 1936.161305 -137.131931 -1121.818530 0.864080 0.421839 -0.274623 59.077799595733083038 545000000
42019.993524301309563 42019.989999999999998 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42019.993524301309563 42019.990511388888887 44.183999999999997499 -0.000862757568981562732 260.31649183565093608 -4.0502037613857432263e-06 8.7703558275686338335e-09 -1.8790973327387882988e-08 -6.4874512230105710141e-09 1.2269233516966901146e-11 -2.7290844535106309526e-10 -1.2911629818962351999e-09 0.018436 -0.000457 -0.010587 -0.000862757568981562732 150.46406129 430.32302149 186.62056142 150.44562502309685215 430.32347813198475706 186.6311484462694068 0.000468 -0.000700 0.000398 1940.419092 -48.060715 -1121.813932 0.864080 0.421839 -0.274623 61.195199036780678625 545000000
42020.003523559828004 42020 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42020.003523559828004 42020.000511388888889 44.183999999999997499 -0.00086247517518637736595 260.25242754712536453 -4.0493687732524825734e-06 8.5499625184291920508e-09 -1.8791379314936763742e-08 -6.4874572026309238198e-09 1.2270189964147739966e-11 -2.7291070148929087912e-10 -1.2911684282357712343e-09 0.018429 0.000703 -0.010587 -0.00086247517518637736595 150.38096222 430.34810025 186.63093281 150.36253372337415612 430.34739686119002045 186.64151984304984921 0.000468 -0.000700 0.000398 1939.601355 74.030568 -1121.814887 0.864080 0.421839 -0.274623 64.017037831486646837 545000000
42020.013522817510687 42020.010000000000002 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42020.013522817510687 42020.01051138888889 44.183999999999997499 -0.00086218585353343253023 260.18829104214648851 -4.0485324466485176817e-06 8.3676571581980877411e-09 -1.8791785012111543534e-08 -6.487463159577475177e-09 1.2271155268591909835e-11 -2.7291295776666538297e-10 -1.2911738712462661608e-09 0.018348 0.001861 -0.010587 -0.00086218585353343253023 150.29778553 430.37316292 186.64129826 150.27943782475699663 430.37130230796390151 186.65188548823959991 0.000468 -0.000700 0.000398 1931.098129 195.828124 -1121.835078 0.864080 0.421839 -0.274623 66.717522627284495229 545000000
42029.99273486299969 42029.989999999999998 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42029.99273486299969 42029.990511388888887 44.183999999999997499 -0.00060321351387087121521 192.10876326197558228 -3.1057973034166174315e-06 8.2565654161017765577e-09 -1.9189889039670996006e-08 -6.4988055280964642229e-09 1.3779549083845621132e-11 -2.746999080797232706e-10 -1.2963413556773873339e-09 0.018243 0.002701 -0.010588 -0.00060321351387087121521 65.49179510 447.52181723 194.07946704 65.473552403966095881 447.51911587287452221 194.09005459105830482 0.000468 -0.000700 0.000398 1920.045762 284.314910 -1121.869817 0.864080 0.421839 -0.274623 68.585218996723256168 545000000
42030.002734038405762 42030 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42030.002734038405762 42030.000511388888889 44.183999999999997499 -0.00060290857787705131373 192.0375180424354653 -3.1047789922809099359e-06 8.1324401020770729785e-09 -1.9190277480289125656e-08 -6.498823777182162494e-09 1.3781696491804910162e-11 -2.747012202647303132e-10 -1.2963461580166188268e-09 0.018036 0.003843 -0.010588 -0.00060290857787705131373 65.40514134 447.53333519 194.08396840 65.387104857186741924 447.52949226975596275 194.09455645592731798 0.000468 -0.000700 0.000398 1898.341490 404.464278 -1121.922821 0.864080 0.421839 -0.274623 70.945847288123943031 545000000
42030.01273321295367 42030.010000000000002 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42030.01273321295367 42030.01051138888889 44.183999999999997499 -0.0006025966852434448337 191.96619867068937992 -3.1037591734744983925e-06 8.0387167678038780867e-09 -1.9190665645189421678e-08 -6.4988419936971352821e-09 1.3783853368808918649e-11 -2.7470253232771006917e-10 -1.296350957407124937e-09 0.017759 0.004969 -0.010589 -0.0006025966852434448337 65.31841397 447.54482412 194.08846359 65.300655175995501622 447.53985487212150929 194.09905233223625487 0.000468 -0.000700 0.000398 1869.115437 523.008706 -1121.994634 0.864080 0.421839 -0.274623 72.99131900509583204 545000000
