JD RVraw eRV
2455253.88081 -27771.35 1.24
2455340.636076 3914.377 1.33
2455423.529502 28009.269 1.23
2455439.494942 27265.871 1.28
2455663.769699 -15324.601 1.5
2455803.514433 27434.787 1.57
2455953.879479 -27466.724 1.42
2455955.881285 -27733.486 1.28
2456085.721516 10739.363 1.61
2456137.522199 26579.064 1.27
2456149.480671 27747.122 1.43
2456343.841887 -28405.092 1.43
2456348.854606 -27904.576 1.29
2456428.702755 392.92 1.54
2456434.694572 3233.986 1.44
2456439.662153 5496.268 1.56
2456501.543021 26433.054 1.4
2456695.887303 -28511.593 1.26
2456702.875671 -28615.494 1.28
2456731.846609 -24615.893 1.5
2456735.789236 -23676.032 1.49
2456817.677778 11313.796 1.51
2456867.48147 26439.877 1.45
2456877.478484 27567.92 1.38
2457059.876586 -28460.811 1.49
2457065.88831 -28617.295 1.51
2457117.762535 -18130.633 1.33
2457122.771597 -16155.765 1.33
2457199.631991 17944.471 1.54
2457202.576968 18880.794 1.48
2457260.509722 27751.203 1.39
2457269.476157 26811.91 1.43
2457452.883727 -26633.776 1.22
2457471.720382 -22171.853 1.62
2457476.84235 -20236.385 1.42
2457500.8525 -10472.09 1.31
2457530.714167 3388.467 1.4
2457554.638553 13975.715 1.5
2457614.520289 27989.73 1.24
2457620.499757 27955.827 1.5
2457826.803796 -24906.777 1.33
2457848.873125 -17686.338 1.41
2457853.798542 -15875.968 1.39
2458263.654907 4417.925 1.23
2458263.658819 4426.568 1.28
2458272.755787 8789.658 1.43
2458294.598449 17574.294 1.47
2458297.657315 18772.734 1.35
2458358.477975 27519.95 1.33
2458358.480532 27526.823 1.35
2458358.483079 27528.062 1.39
2458529.85662 -28653.058 1.25
2458529.85934 -28649.576 1.29
2458529.862106 -28643.898 1.38
2458592.741863 -12424.566 1.4
2458595.802789 -10948.618 1.24
2458618.686505 -399.493 1.57
2458618.689433 -390.741 1.59
2458618.692222 -385.175 1.65
2458622.640498 1396.838 1.28
2458622.644375 1400.766 1.46
2458704.537859 27726.16 1.24
