Code;Name;Elong.rad;PhiGd.rad;height.m;x.m;y.m;z.m;PhiGc.rad;rho.m;CosPhiGc;SinPhiGc
000;Greenwich;0;0,898449702519705;68,7872053168188;3980660,9554;0;4966848,9622;0,895174333045742;6365159,09111102;0,62411;0,77873
001;Crowborough;0,00269129770657526;0,89102256235788;270,699442560967;4017703,3984758;10812,8620481838;4937381,9554;0,887736627071261;6365516,32545383;0,62992;0,77411
002;Rayleigh;0,0108210413623648;0,901514503296928;3044,19454487147;3966970,81257075;42928,4308264915;4981327,34;0,898245276268576;6368070,53558556;0,622;0,781
003;Montpellier;0,0680678408277788;0,761845339081678;2469,57202639291;4613443,25450408;314513,008352643;4381782,18;0,75849247646055;6370462,47676869;0,725;0,687
004;Toulouse;0,0255254403104171;0,761177818762829;180,118532957845;4623920,36567784;118053,243530269;4377126,1378;0,757823979831233;6368187,28859715;0,7252;0,68627
005;Meudon;0,0389382956119935;0,851809095911044;160,55202768337;4205686,85529746;163845,093205526;4776429,5925;0,848478860306653;6366233,32838965;0,659891;0,748875
006;Fabra Observatory, Barcelona;0,0370737603720879;0,722889568512402;375,463723864488;4786959,38583424;177551,938868235;4197638,90006;0,719558951520816;6369197,53092329;0,751042;0,658129
007;Paris;0,0407839812959775;0,852355638668678;63,1553217881678;4202694,32141411;171497,703080011;4778649,18522;0,849025828353105;6366124,33563875;0,65947;0,749223
008;Algiers-Bouzar~A(c)ah;0,0529794694442879;0,642306647569515;324,623441603422;5106307,75616945;270782,869796142;3799968,2492;0,639088035896632;6370828,90668235;0,80172;0,59578
009;Berne-Uecht;0,129882166945662;0,819498229741262;-104,414282597645;4324637,00115291;564873,155713208;4638183,408;0,81614679643532;6366656,28097141;0,6838;0,7272
010;Caussols;0,120798426320732;0,763597988375295;1269,09778484388;4581938,01285471;556198,936770284;4389021,3689;0,760243920846718;6369224,58291182;0,723655;0,688135
011;Wetzikon;0,153545340944201;0,825877996895878;554,21965700505;4281066,56503271;662552,84744659;4666311,0054;0,822529960498086;6367178,77941382;0,6792;0,73161
012;Uccle;0,0760651139933421;0,886602753042543;108,174646467167;4027806,13830221;306967,790012579;4919497,65084;0,883310728964237;6365446,46104815;0,633333;0,771306
013;Leiden;0,0782600400606501;0,910275496879363;4,76055664104944;3909361,05800796;306572,890950918;5013403,00606;0,907018577727676;6364848,82149659;0,614813;0,786029
014;Marseilles;0,0941620839414209;0,755829944271732;71,7638895818067;4628170,83356292;437090,796330887;4352340,68576;0,752478099316777;6368193,07761641;0,728859;0,682384
015;Utrecht;0,0895229987896199;0,909062772376408;7,08837084744909;3911739,69324482;351129,195501168;5008657,6699;0,905803874757106;6364876,33767448;0,61577;0,785285
016;Besan~ASSon;0,104533004889696;0,824668047816732;291,844820962752;4313841,10779091;452588,476348345;4660889,5864;0,821319253002695;6366942,21497274;0,68006;0,73076
017;Hoher List;0,119541789259296;0,875481320625136;507,011254092941;4065201,15102367;488289,563094981;4874697,59548;0,872175534946826;6366079,14992345;0,641946;0,764282
018;D~A 1/4 sseldorf-Bilk;0,118005201385841;0,893730546378816;37,858575868177;3976285,61945299;471412,595265777;4948033,4492;0,890448297234505;6365226,7969685;0,62779;0,77578
019;Neuch~Actel;0,121431282707505;0,820260009833125;514,237822844757;4326153,92079801;527927,83746464;4641946,5106;0,816909237679407;6367258,6687897;0,68331;0,72779
020;Nice;0,127416016712594;0,763084807838839;393,839994835169;4579770,25724949;586714,598212787;4386055,5338;0,759730442856401;6368360,28931472;0,72391;0,68767
021;Karlsruhe;0,146354584425985;0,855630581008319;127,049730997612;4145702,2423418;611112,043850141;4792406,8332;0,852303741192933;6366118,775769;0,65701;0,75138
022;Pino Torinese;0,135695858684055;0,786057933419922;659,427266604414;4473580,09295997;610799,862745061;4490784,5926;0,782699850552979;6368134,85862153;0,7079;0,70409
023;Wiesbaden;0,144207829446031;0,874081556825558;214,610977655451;4058511,26372598;589360,200255151;4868753,169;0,870773977162099;6365816,25120322;0,64299;0,76335
024;Heidelberg-K~APnigstuhl;0,152220636041937;0,862168482190847;571,916215833727;4111154,61794535;630681,310063017;4819960,398;0,85884816515455;6366425,17004673;0,65211;0,7557
025;Stuttgart;0,160509204659659;0,851415685730005;337,840727021924;4156753,3937816;672986,562270055;4774911,59518;0,848085202540751;6366418,96449608;0,660205;0,748637
026;Berne-Zimmerwald;0,130290748523554;0,818159714475817;901,029182514995;4331261,14604295;567538,346717272;4633093,65228;0,814808239698429;6367690,29405585;0,684884;0,726402
027;Milan;0,160416702209303;0,793537235446737;147,354339398369;4423367,36609066;715731,998193878;4523950,9206;0,790179155846732;6367462,84485681;0,70254;0,70929
028;W~A 1/4 rzburg;0,173421150465913;0,869017452117252;188,624222200673;4063878,01918405;711913,661646792;4847960,4326;0,865704134950659;6365897,10665369;0,64686;0,76009
029;Hamburg-Bergedorf;0,178732187379731;0,933396950279299;22,8435734200155;3743325,74333613;676269,3667622;5102512;0,930181444253221;6364389,72622575;0,5964;0,8
030;Arcetri Observatory, Florence;0,196427382534001;0,763592803779153;169,109620383658;4526058,94191212;900655,360542947;4388236,85768;0,760238158526451;6368124,71165874;0,723534;0,688012
031;Sonneberg;0,195299725304288;0,879251338183095;630,72901380903;3998533,53702809;790994,871056122;4890151,8287;0,875950168330108;6366123,4861188;0,639061;0,766705
032;Jena;0,202160614593877;0,888813390536901;153,918463569883;3946544,31147504;808885,386785485;4928427,04684;0,885524361345798;6365445,83885647;0,631624;0,772706
033;Karl Schwarzschild Observatory, Tautenburg;0,204399697491261;0,889771237046014;350,698423339097;3940201,6133544;816782,678781828;4932426,14062;0,886483616899168;6365622,54071902;0,6309;0,773333
034;Monte Mario Observatory, Rome;0,217336426972893;0,731684754997044;105,403742836667;4641027,5889273;1024851,7290948;4239269,01984;0,728346953666024;6368740,84654008;0,745176;0,664656
035;Copenhagen;0,219491210467405;0,971919149551291;13,1573606248343;3517241,4344913;784644,686012373;5244878,46294;0,968787885129543;6363599,97822001;0,565008;0,822321
036;Castel Gandolfo;0,220791131694291;0,728630734042258;434,866723089608;4650347,81028994;1043771,78172929;4225007,4988;0,725295434081641;6369135,15745419;0,747247;0,66242
037;Collurania Observatory, Teramo;0,239691302164137;0,744513251694012;430,649307603259;4563824,30054121;1115350,93433259;4299886,8624;0,741167198573077;6368793,21240431;0,7366;0,67416
038;Trieste;0,240338819316627;0,796625344609567;67,1687775410271;4338415,174934;1063240,75387771;4537663,9216;0,79326755477249;6367316,62446547;0,70033;0,71144
039;Lund;0,2301635497775;0,972111068303875;19,4207879029592;3507686,12524949;821906,57889868;5245573,6802;0,968980273811213;6363602,40839351;0,56485;0,82243
040;Lohrmann Institute, Dresden;0,239630215640317;0,890661491867746;163,165102405918;3904587,79157121;953987,665604161;4935851,2018;0,887375000855124;6365416,35515874;0,63019;0,77387
041;Innsbruck;0,198632955109746;0,824984879756382;615,196418793726;4250992,32646108;855670,386335487;4662496,87768;0,82163641556834;6367258,80611572;0,679862;0,731012
042;Potsdam;0,228014700402445;0,914197381273707;92,5853902925321;3800656,28492687;881943,02328982;5028774,32346;0,910947040518806;6364855,29205293;0,611721;0,788439
043;Asiago Astrophysical Observatory, Padua;0,20117415450065;0,800520473614331;1093,13465927266;4360007,94981045;889148,320501886;4555707,67966;0,797163826169327;6368259,30068608;0,697656;0,714269
044;Capodimonte Observatory, Naples;0,24881239283506;0,713192811103991;148,726222325746;4681917,70688783;1189568,84860714;4151021,0748;0,709871033383335;6369176,03957372;0,75738;0,65082
045;Vienna (since 1879);0,285169346483353;0,841805662975027;281,162249055574;4084795,6016966;1197496,61308865;4734301,9778;0,838467478442906;6366566,45791117;0,66739;0,74227
046;NA;0,249374388854202;0,852825300433217;1064,63170825729;4074536,68311269;1037685,18407219;4781372,651;0,84949642622369;6367115,8424364;0,65922;0,74965
047;NA;0,294580161810107;0,914526935925915;92,2002639925946;3731982,52885035;1132312,14034943;5030056,3296;0,911277153115197;6364848,07813792;0,61146;0,78864
048;Hradec Kr~A!lov~A(c);0,276474116149918;0,875759601735781;273,493519769448;3937476,9256121;1117222,64072799;4875654,31648;0,87245402434924;6365839,77040681;0,641709;0,764432
049;Uppsala-Kvistaberg;0,307294885410886;1,03847671809319;11,9470429772201;3093177,33232091;981611,767224972;5472444,12;1,03553461037209;6362307,15364018;0,5088;0,858
050;Stockholm (before 1931);0,31517504698364;1,03571755726785;46,7318562685297;3099778,35519514;1010661,30684489;5463514,724;1,03276655882906;6362393,83155857;0,51118;0,8566
051;Cape;0,322477504573984;-0,59225905089608;14,5958083591198;5024301,82285928;1678826,49984321;-3540377,9512;-0,589152025137486;6371525,97586371;0,83055;-0,55508
052;Stockholm-Saltsj~APbaden;0,319540115442878;1,03448537573694;42,3888893384862;3101755,82728938;1026306,15908833;5459496,4958;1,03153042684606;6362412,71311118;0,51224;0,85597
053;Konkoly Observatory, Budapest (since 1934);0,330987730006709;0,829024440711957;494,855889576675;4082903,70161347;1403003,52458379;4679832,6622;0,825678078354819;6367052,32213757;0,67688;0,73373
054;Brorfelde;0,203599638562147;0,970785559030833;79,9749882459322;3535150,13966272;729868,302758999;5240853,8566;0,967651579472486;6363689,44839146;0,56595;0,82169
055;Cracow;0,34836073738106;0,873790679272613;185,879129088104;3856061,8136987;1400413,35948937;4867541,3224;0,870482746692833;6365793,6515232;0,64321;0,76316
056;Skalnat~A(c) Pleso;0,353341907066252;0,858506468456678;1804,59827377147;3919650,78575666;1445646,92268731;4805673,3644;0,855183201427023;6367735,3739506;0,65501;0,75346
057;Belgrade;0,358024625449353;0,781971194236789;289,529366875575;4245753,00833039;1588545,43312462;4472096,6424;0,778613084434976;6367852,35223093;0,71074;0,70116
058;Kaliningrad;0,357705230196238;0,954918791353179;28,3231473394343;3459010,67633065;1292927,05732939;5183004,1268;0,951748025341536;6363956,86762329;0,57897;0,81262
059;Lomnick~A 1/2  A t~A-t;0,352907320082505;0,858631747164245;2631,89576556738;3920218,82425943;1443921,31241176;4806821,4296;0,855309031783036;6368560,01326647;0,655;0,75364
060;Warsaw-Ostrowik;0,373849525777185;0,909142194663232;138,217907364824;3655893,91305135;1434201,50057382;5009072,249;0,905883493241221;6365005,81644951;0,61572;0,78535
061;Uzhgorod;0,389182243255956;0,848814115041098;185,529167537347;3907419,44044348;1602430,00160972;4763858,27856;0,845481353580201;6366321,88094658;0,662142;0,746904
062;Turku;0,387974475413576;1,05509387504551;2,24297592309952;2918986,57058228;1192958,02954393;5525510,2448;1,05220729892867;6361988,28393159;0,4944;0,86632
063;Turku-Tuorla;0,391739150610127;1,05445440912367;44,8681970479747;2917775,98167937;1205302,27065501;5523533,0214;1,0515656555217;6362042,69723234;0,49496;0,86601
064;Turku-Kevola;0,39706240482871;1,05453495857052;46,3308850459376;2910906,80623824;1220644,52853105;5523788,147;1,05164648209131;6362042,67453265;0,49489;0,86605
