BJDtdb1 BJDtdb2 BJDtcb1 BJDtcb2 RvTot RvBT RvGO RvgsO RvgT RvlO RvLocal RvlT RvRemote RvSB RvSG RvSO RvsT RvST RvTot RvTropo
2455427 0.788021819015687 2455427 0.788212274579871 -37617.0208298909 0 178.302630609171 -4.60747709168405 0 -0.000255012638451452 -20946.4642821539 0 -16671.7213989977 -16674.0287517694 20774.2327425162 20952.5353731254 2.30748110318373 -16674.0287517694 -37617.0208298909 -0.0000823479983012612
2455427 0.789021889065578 2455427 0.789212344645267 -37614.5388796052 0 176.10198967148 -4.60734369081907 0 -0.000254951167539943 -20943.9821948061 0 -16671.7213979992 -16674.0287507945 20773.9508173454 20950.0528070169 2.30748110318373 -16674.0287507945 -37614.5388796052 -0.0000808964029990909
2455427 0.790031959416366 2455427 0.790222415011717 -37612.0250124968 0 173.87224795355 -4.60720776039676 0 -0.000254889097769661 -20941.4681888716 0 -16671.7213970339 -16674.0287498099 20773.666067344 20947.5383152976 2.30748110318373 -16674.0287498099 -37612.0250124968 -0.000079446981805062
2455427 0.79144205795586 2455427 0.791632513573075 -37608.5037930203 0 170.747684256525 -4.60701598001152 0 -0.000254802476623737 -20937.9467749853 0 -16671.721395636 -16674.0287484351 20773.2685354065 20944.016219663 2.30748110318373 -16674.0287484351 -37608.5037930203 -0.0000774508334259246
2455427 0.792392124569559 2455427 0.792582580201504 -37606.1237232517 0 168.634868211972 -4.60688537497305 0 -0.00025474413771164 -20935.5665737463 0 -16671.7213947374 -16674.0287475089 20773.0006883914 20941.6355566034 2.30748110318373 -16674.0287475089 -37606.1237232517 -0.0000761233748667781
2455427 0.793362192259223 2455427 0.79355264790621 -37603.6873115878 0 166.471339707167 -4.6067509090313 0 -0.000254684591821009 -20933.1300275167 0 -16671.7213937721 -16674.0287465631 20772.7271973627 20939.1985370698 2.30748110318373 -16674.0287465631 -37603.6873115878 -0.0000747820977107129
2455427 0.794572276666573 2455427 0.794762732332322 -37600.6393665278 0 163.76379924387 -4.60658162839275 0 -0.00025461034585904 -20930.0819141079 0 -16671.7213926072 -16674.0287453832 20772.3860310643 20936.1498303082 2.30748110318373 -16674.0287453832 -37600.6393665278 -0.000073128473946643
2455427 0.795552345112887 2455427 0.795742800793833 -37598.1637962516 0 161.563931955756 -4.60644316841313 0 -0.00025455024195146 -20927.6062071358 0 -16671.721391642 -16674.0287444275 20772.1097085181 20933.6736404739 2.30748110318373 -16674.0287444275 -37598.1637962516 -0.0000718046573012301
2455427 0.796912440181216 2455427 0.797102895883251 -37594.7181186761 0 158.500867940199 -4.60624925787436 0 -0.000254466879717355 -20924.1603392776 0 -16671.7213903106 -16674.0287431013 20771.7262315505 20930.2270994907 2.30748110318373 -16674.0287431013 -37594.7181186761 -0.0000699898358218225
2455428 0.852725078551518 2455428 0.852915550624136 -37154.4019025624 0 18.8893182248433 -4.59755729951887 0 -0.000245635650680157 -20483.820662019 0 -16671.7203636765 -16674.0277164459 20470.9286493527 20489.8179675776 2.30748110318373 -16674.0277164459 -37154.4019025624 -0.0000071880001509126
2455428 0.853715146297937 2455428 0.853905618385907 -37151.6771676616 0 16.4488360974259 -4.59736052658629 0 -0.000245580405742635 -20481.0957766096 0 -16671.720362678 -16674.0277154699 20470.6436778449 20487.0925139423 2.30748110318373 -16674.0277154699 -37151.6771676616 -0.00000625649661852443
2455428 0.854705214035354 2455428 0.854895686138675 -37148.9517882563 0 14.0077140302002 -4.59716302141343 0 -0.000245525308213486 -20478.3702465958 0 -16671.7203617127 -16674.0277144938 20470.3587009186 20484.3664149488 2.30748110318373 -16674.0277144938 -37148.9517882563 -0.00000532594485799657
2455428 0.855825290703769 2455428 0.856015762824456 -37145.8678730243 0 11.2453884678499 -4.59693868961952 0 -0.000245463155684541 -20475.2861609515 0 -16671.7203606144 -16674.0277133895 20470.036296234 20481.2816847019 2.30748110318373 -16674.0277133895 -37145.8678730243 -0.00000427415649890223
2455428 0.856785356144268 2455428 0.856975828279842 -37143.2240623567 0 8.87723061658504 -4.59674557788833 0 -0.00024541003615515 -20472.6422042352 0 -16671.7203596492 -16674.0277124429 20469.7599439187 20478.6371745353 2.30748110318373 -16674.0277124429 -37143.2240623567 -0.00000337327364717338
2455428 0.857735420817143 2455428 0.857925892967447 -37140.6074672295 0 6.53342127483213 -4.59655379750309 0 -0.000245357611674287 -20470.0254644906 0 -16671.7203587172 -16674.0277115062 20469.4864652802 20476.019886555 2.30748110318373 -16674.0277115062 -37140.6074672295 -0.00000248222320986255
2455428 0.858875498972475 2455428 0.859065971140456 -37137.4672442513 0 3.7205471201215 -4.59632287554668 0 -0.000245294890628339 -20466.8850680048 0 -16671.7203575856 -16674.0277103821 20469.1582841675 20472.8788312876 2.30748110318373 -16674.0277103821 -37137.4672442513 -0.00000141336276005214
2455428 0.859815562868135 2455428 0.860006035050693 -37134.877783619 0 1.40101022753712 -4.59613162769983 0 -0.000245243329726642 -20464.295464286 0 -16671.7203566869 -16674.0277094552 20468.8876734395 20470.2886836671 2.30748110318373 -16674.0277094552 -37134.877783619 -0.000000532197911948517
2455429 0.886065114909525 2455429 0.886255603004285 -36765.6592659829 0 -69.5684969253419 -4.59157849109103 0 -0.000238400205432057 -20095.0574202315 0 -16671.7193493573 -16674.0267021473 20170.564652135 20100.9961552096 2.30748110318373 -16674.0267021473 -36765.6592659829 0.0000271918485326088
2455429 0.887055181371976 2455429 0.887245669482087 -36762.9666387865 0 -71.9712554461195 -4.59136068289232 0 -0.000238351330942576 -20092.3646442904 0 -16671.7193483921 -16674.026701162 20170.274056845 20098.3028013989 2.30748110318373 -16674.026701162 -36762.9666387865 0.0000281873767695414
2455429 0.888205258371809 2455429 0.888395746499753 -36759.8423548152 0 -74.7588164000511 -4.59110706148733 0 -0.000238294818363848 -20089.2401877101 0 -16671.7193472271 -16674.0267000174 20169.9364899866 20095.1776735866 2.30748110318373 -16674.0267000174 -36759.8423548152 0.0000293498260085062
2455429 0.889155322295289 2455429 0.889345810437964 -36757.2643719161 0 -77.0586312108854 -4.59089710822977 0 -0.000238248347154109 -20086.6620623237 0 -16671.7193462952 -16674.0266990718 20169.6576248575 20092.5989936466 2.30748110318373 -16674.0266990718 -36757.2643719161 0.0000303151869370119
2455429 0.890295398526992 2455429 0.890485886687344 -36754.1744380685 0 -79.8147566369494 -4.59064455190155 0 -0.000238192838340455 -20083.5719578308 0 -16671.7193451635 -16674.0266979371 20169.322980324 20089.508223687 2.30748110318373 -16674.0266979371 -36754.1744380685 0.0000314799232464942
2455429 0.891245462432515 2455429 0.891435950607597 -36751.6026259579 0 -82.1083895364544 -4.59043353356722 0 -0.000238146796456505 -20081.0000036323 0 -16671.7193441983 -16674.0266969916 20169.0441043362 20086.9357147997 2.30748110318373 -16674.0266969916 -36751.6026259579 0.0000324559810371707
2455430 0.849449474908086 2455430 0.849639977940311 -36563.797975282 0 13.8333937098105 -4.60027637393603 0 -0.000234897389416778 -19893.1858567985 0 -16671.7183957807 -16674.0257485781 19885.2729348867 19899.1063285965 2.30748110318373 -16674.0257485781 -36563.797975282 -0.00000525953688872903
2455430 0.850439540703796 2455430 0.850630043751372 -36561.0611900694 0 11.3916909084771 -4.60008299593565 0 -0.000234842374042762 -19890.4489203451 0 -16671.7183948155 -16674.0257475844 19884.9771455124 19896.3688364209 2.30748110318373 -16674.0257475844 -36561.0611900694 -0.00000432983649482642
2455430 0.851539613696048 2455430 0.851730116760681 -36558.0197968624 0 8.67817238475038 -4.59986718475587 0 -0.000234781417039289 -19887.4073591222 0 -16671.7183936839 -16674.0257464802 19884.6484844468 19893.3266568315 2.30748110318373 -16674.0257464802 -36558.0197968624 -0.00000329757878933996
2455430 0.85249967725378 2455430 0.8526901803333 -36555.3651407177 0 6.3096659593707 -4.59967806706254 0 -0.000234728367362117 -19884.7525563298 0 -16671.7183927186 -16674.0257455166 19884.3616476474 19890.6713136068 2.30748110318373 -16674.0257455166 -36555.3651407177 -0.00000239718216301278
2455430 0.853709757428506 2455430 0.853900260526788 -36552.0188435248 0 3.32404269176902 -4.59943869105931 0 -0.000234661703394918 -19881.4060742129 0 -16671.7183915204 -16674.025744302 19884.0001066193 19887.3241493111 2.30748110318373 -16674.025744302 -36552.0188435248 -0.00000126272612256154
2455430 0.854649819953845 2455430 0.854840323066702 -36549.4190930527 0 1.0044900224896 -4.59925196978871 0 -0.000234610071318631 -19878.8061800886 0 -16671.7183905885 -16674.0257433584 19883.7192344788 19884.7237245013 2.30748110318373 -16674.0257433584 -36549.4190930527 -0.000000381573061058035
2455431 0.849245286326013 2455431 0.84943580486027 -36256.3858903215 0 7.76451065462596 -4.60144210045679 0 -0.00022950552286285 -19585.7576740681 0 -16671.7173971381 -16674.0247499108 19583.8743155058 19591.6388261604 2.30748110318373 -16674.0247499108 -36256.3858903215 -0.00000295018975699617
2455431 0.850565372387347 2455431 0.850755890942073 -36252.7284157406 0 4.50762196826852 -4.60118488441772 0 -0.000229432626176671 -19582.0999973889 0 -16671.7173958068 -16674.0247485742 19583.4727936049 19587.9804155731 2.30748110318373 -16674.0247485742 -36252.7284157406 -0.00000171240139924272
2455431 0.852055469901059 2455431 0.852245988478889 -36248.5995291299 0 0.830921580006252 -4.60089272054725 0 -0.00022935065847605 -19577.9708827186 0 -16671.7173942757 -16674.0247470653 19583.0195491484 19583.8504707285 2.30748110318373 -16674.0247470653 -36248.5995291299 -0.000000315640298575509
