BJDtcb1 BJDtcb2 BJDtdb1 BJDtdb2
2456640 0.504766777009429 2456640 0.504557518035341
2456650 0.504972092906247 2456650 0.504762678877
2456660 0.505053651626965 2456660 0.504844082544476
2456670 0.505008299412199 2456670 0.504798575278437
2456680 0.504838245309576 2456680 0.504628366126473
2456690 0.504548607768975 2456690 0.504338573538386
2456700 0.504148618190357 2456700 0.503938428913993
2456710 0.503651696203297 2456710 0.503441351882662
2456720 0.503072922885402 2456720 0.502862423521764
2456730 0.502430702227874 2456730 0.502220047822217
2456740 0.501745102651898 2456740 0.501534293204894
2456750 0.501036238627626 2456750 0.500825274139637
2456760 0.500325877356235 2456760 0.500114757827283
2456770 0.499634709603846 2456770 0.499423435033634
2456780 0.498982229041425 2456780 0.498770799429354
2456790 0.498387667676651 2456790 0.498176083021822
2456800 0.497867148826633 2456800 0.497655409127897
2456810 0.497435015222449 2456810 0.497223120478437
2456820 0.497103604396826 2456820 0.496891554605976
2456830 0.496881194105208 2456830 0.49666898926583
2456840 0.496774173217513 2456840 0.496561813327817
2456850 0.496785596717034 2456850 0.496573081775184
2456860 0.496914541011152 2456860 0.496701871015326
2456870 0.497158245850628 2456870 0.496945420799046
2456880 0.497509930924081 2456880 0.49729695081507
2456890 0.497959744568459 2456890 0.497746609400497
2456900 0.498496090413507 2456900 0.498282800185252
2456910 0.499103564392113 2456910 0.498890119102461
2456920 0.499765219187423 2456920 0.499551618835536
2456930 0.500462671556785 2456930 0.500248916142107
2456940 0.501175034380568 2456940 0.500961123902869
2456950 0.501881824757486 2456950 0.501667759216851
2456960 0.502561948192371 2456960 0.502347727589214
2456970 0.503194126624387 2456970 0.50297975095945
2456980 0.503759520763152 2456980 0.503544990037472
2456990 0.504240065485714 2456990 0.504025379700607
2457000 0.504620272530486 2457000 0.504405431687506
2457010 0.504888613001165 2457010 0.504673617102048
2457020 0.505035805628753 2457020 0.504820654675377
2457030 0.505057284533151 2457030 0.504841978527465
2457040 0.504952740131305 2457040 0.504737279075263
2457050 0.504724904840546 2457050 0.50450928873606
2457060 0.50438174113248 2457060 0.504165969981339
2457070 0.50393426339409 2457070 0.503718337197909
2457080 0.50339623502265 2457080 0.503180153782835
2457090 0.50278532926688 2457090 0.502569092984561
2457100 0.502120098145229 2457100 0.501903706821248
2457110 0.501420753788934 2457110 0.501204207423819
2457120 0.500708953945002 2457120 0.500492252538947
2457130 0.500005096120768 2457130 0.49978823967365
2457140 0.499329948626966 2457140 0.499112937138339
2457150 0.498703115024085 2457150 0.498485948493201
2457160 0.498141593046928 2457160 0.497924271472773
2457170 0.497661607289589 2457170 0.4974441306709
2457180 0.497276193899404 2457180 0.497058562234714
2457190 0.496995403051788 2457190 0.496777616339475
2457200 0.496827529989761 2457200 0.496609588228074
2457210 0.496788158650546 2457210 0.496570061837493
2457220 0.496855499342941 2457220 0.496637247476867
2457230 0.497039884949659 2457230 0.496821478028749
2457240 0.497335703508428 2457240 0.497117141530955
2457250 0.497735395945454 2457250 0.497516678909807
2457260 0.49822827420004 2457260 0.498009402104773
2457270 0.498800177899492 2457270 0.498581150743381
2457280 0.499435872405333 2457280 0.499216690187389
2457290 0.500117149818158 2457290 0.499897812537674
2457300 0.500824126763782 2457300 0.500604634420359
2457310 0.501536881898769 2457310 0.501317234492318
2457320 0.502233684745299 2457320 0.502013882276067
2457330 0.502893588718705 2457330 0.502673631187265
2457340 0.503496827172646 2457340 0.503276714579875
2457350 0.504023927417223 2457350 0.503803659764303
2457360 0.50445874409763 2457360 0.504238321385991
2457370 0.504787481793321 2457370 0.504566904024608
2457380 0.504999002068467 2457380 0.504778269244498
2457390 0.505087172732064 2457390 0.50486628485475
2457400 0.505048803769601 2457400 0.504827760840906
2457410 0.504884936466639 2457410 0.504663738488508
2457420 0.504601578052346 2457420 0.504380225026632
2457430 0.504207271845448 2457430 0.503985763773871
2457440 0.5037148648602 2457440 0.503493201744281
2457450 0.503140351596742 2457450 0.502918533437754
2457460 0.502501031241231 2457460 0.502279058040179
2457470 0.501817193470188 2457470 0.501595065227762
2457480 0.501109551535512 2457480 0.500887268252082
2457490 0.500398727194137 2457490 0.500176288869751
2457500 0.499706316904459 2457500 0.499483723538832
2457510 0.499051862761588 2457510 0.498829114354133
2457520 0.498453816562743 2457520 0.498230913112583
2457530 0.497929543347523 2457530 0.497706484853516
2457540 0.497492850069601 2457540 0.497269636530387
2457550 0.497155957483892 2457550 0.496932588897926
2457560 0.496928279728046 2457560 0.496704756093633
2457570 0.496815285555152 2457570 0.496591606870514
2457580 0.496820642328563 2457580 0.496596808591865
2457590 0.496944078143923 2457590 0.496720089353335
2457600 0.497181894561099 2457600 0.496957750714847
2457610 0.49752844616745 2457610 0.497304147263848
2457620 0.497973846603501 2457620 0.497749392641015
2457630 0.498505927160131 2457630 0.498281318137419
2457640 0.499110538496916 2457640 0.498885774412852
2457650 0.499770041324909 2457650 0.499545122178643
2457660 0.500466081272343 2457660 0.500241007063308
2457670 0.501178697910013 2457670 0.500953468637952
2457680 0.501886305587585 2457680 0.501660921252576
2457690 0.502568425617152 2457690 0.502342886219589
2457700 0.503204043515217 2457700 0.502978349055822
2457710 0.503773194304397 2457710 0.503547344784201
2457720 0.50425876776384 2457720 0.504032763184138
2457730 0.504644767560995 2457730 0.504418607923331
2457740 0.504918919427287 2457740 0.504692604733395
2457750 0.505072868813166 2457750 0.504846399064911
2457760 0.505112506479517 2457760 0.504885881678671
2457770 0.505014281041261 2457770 0.50478750118996
2457780 0.504793057463135 2457780 0.504566122563288
2457790 0.504455460592095 2457790 0.504228370645506
2457800 0.504013089423538 2457800 0.503785844431831
2457810 0.503479699503889 2457810 0.503252299468476
2457820 0.502871885559762 2457820 0.502644330481796
2457830 0.502209227673015 2457830 0.501981517553347
2457840 0.501511358973194 2457840 0.50128349381237
2457850 0.500799505231104 2457850 0.50057148502934
2457860 0.500095135870539 2457860 0.49986696062772
2457870 0.499418054240824 2457870 0.499189723956527
2457880 0.498788230304906 2457880 0.498559744978397
2457890 0.498223376797658 2457890 0.497994736427931
2457900 0.497738698219704 2457900 0.497509902805515
2457910 0.497348255343518 2457910 0.497119304883406
2457920 0.497062204047926 2457920 0.496833098540273
2457930 0.496888147665365 2457930 0.496658887108433
2457940 0.496831409349483 2457940 0.496601993741454
2457950 0.496892826702467 2457950 0.496663256041509
2457960 0.497071089412191 2457960 0.496841363696493
2457970 0.497361729223396 2457970 0.497131848451214
2457980 0.4977562521028 2457980 0.497526216272525
2457990 0.498244590617729 2457990 0.498014399727905
2458000 0.498813173811694 2458000 0.498582827861077
2458010 0.499445778593838 2458010 0.499215277581435
2458020 0.500125297177569 2458020 0.499894641102654
2458030 0.500831692338311 2458030 0.500600881200466
2458040 0.501544372552004 2458040 0.501313406351132
2458050 0.502242772902733 2458050 0.502011651639056
2458060 0.502905104203124 2458060 0.5026738278772
2458070 0.503511491296956 2458070 0.503280059909654
2458080 0.504043247419133 2458080 0.503811660971609
2458090 0.504482976021375 2458090 0.504251234515056
2458100 0.50481736206637 2458100 0.50458546550289
2458110 0.505035376237749 2458110 0.504803324618912
2458120 0.505129657462453 2458120 0.504897450790177
2458130 0.505097892999263 2458130 0.504865531275502
2458140 0.504940514917164 2458140 0.504707998143867
2458150 0.504662770141764 2458150 0.504430098320797
2458160 0.504274141387657 2458160 0.504041314520738
2458170 0.503786362686227 2458170 0.503553380774895
2458180 0.503215425504641 2458180 0.502982288550185
2458190 0.502579276933446 2458190 0.502345984936877
2458200 0.501896974157591 2458200 0.501663527119624
2458210 0.501189984048022 2458210 0.500956381969041
2458220 0.500479040034032 2458220 0.500245282914096
2458230 0.499784810349013 2458230 0.499550898187865
2458240 0.499128049237922 2458240 0.498893982034981
2458250 0.498526735901913 2458250 0.498292513656319
2458260 0.497997938722047 2458260 0.497763561432674
2458270 0.497556670426327 2458270 0.49732213809182
2458280 0.497214262928669 2458280 0.496979575547494
2458290 0.496980587103585 2458290 0.496745744674057
2458300 0.49686187661287 2458300 0.496626879133205
2458310 0.496860826371697 2458310 0.496625673840072
2458320 0.496978237279591 2458320 0.496742929694168
2458330 0.49721049078285 2458330 0.49697502814185
2458340 0.497551270777643 2458340 0.497315653079382
2458350 0.497992012717774 2458350 0.497756239960703
2458360 0.498519952942734 2458360 0.4982840251255
2458370 0.499120861596932 2458370 0.498884778718404
2458380 0.499778197705623 2458380 0.499541959764926
2458390 0.500472570494709 2458390 0.500236177491269
2458400 0.501184588280289 2458400 0.500948040213833
2458410 0.50189313847778 2458410 0.50165643534836
2458420 0.502576628514002 2458420 0.502339770322008
2458430 0.503215049394337 2458430 0.502978036140467
2458440 0.503788105593843 2458440 0.503550937279111
2458450 0.504277873709607 2458450 0.504040550335305
2458460 0.504669399984952 2458460 0.504431921552602
